epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.40462,2.98304,15.7178,2.91796,0.04509,0.08696,0.00841,0.00219,2.68937,26.0118,3.03685,0.00026,0.00026,0.00026
2,13.7256,2.52447,6.49771,2.495,0.007,0.21739,0.0054,0.00137,3.01002,5.97681,3.69162,0.00048654,0.00048654,0.00048654
3,18.7426,2.48933,4.02276,2.60803,0.01074,0.21739,0.00658,0.00167,2.90339,4.47989,3.75475,0.00065764,0.00065764,0.00065764
4,23.7165,2.50162,3.47481,2.67829,0.13895,0.04348,0.02184,0.00462,3.95445,3.376,3.99347,0.0007733,0.0007733,0.0007733
5,30.0625,2.38169,3.23133,2.55894,0.28706,0.21739,0.10652,0.03268,2.70797,3.50316,2.75459,0.00083352,0.00083352,0.00083352
6,35.2597,2.32994,3.33715,2.56115,0.26381,0.08696,0.08857,0.02064,2.66127,3.50665,2.88431,0.0008383,0.0008383,0.0008383
7,40.8086,2.30698,3.30699,2.44675,0.11454,0.17391,0.10628,0.04143,2.24594,3.27342,2.50064,0.00078764,0.00078764,0.00078764
8,46.5574,2.42381,3.12287,2.44662,0.00526,0.21739,0.00503,0.0019,2.85707,4.12075,2.74513,0.000614,0.000614,0.000614
9,51.5266,2.29323,3.05408,2.35642,0.09834,0.04348,0.05597,0.0165,2.521,3.37099,2.44833,0.000416,0.000416,0.000416
10,57.661,2.23705,2.8952,2.3149,0.19888,0.3913,0.1805,0.07248,2.18598,2.73658,2.26877,0.000218,0.000218,0.000218
